Toothbrush ID,Village ID,Date,Number of Times Brushed,Total Time Brushed (s)
toothbrush1,village1,2023-01-01,2,134
toothbrush1,village1,2023-01-02,2,157
toothbrush1,village1,2023-01-03,1,73
toothbrush1,village1,2023-01-04,1,117
toothbrush1,village1,2023-01-05,1,78
toothbrush1,village1,2023-01-06,2,145
toothbrush1,village1,2023-01-07,1,90
toothbrush1,village1,2023-01-08,1,50
toothbrush1,village1,2023-01-09,0,0
toothbrush1,village1,2023-01-10,0,0
toothbrush1,village1,2023-01-11,0,0
toothbrush1,village1,2023-01-12,2,94
toothbrush1,village1,2023-01-13,0,0
toothbrush1,village1,2023-01-14,1,61
toothbrush1,village1,2023-01-15,1,60
toothbrush1,village1,2023-01-16,1,70
toothbrush1,village1,2023-01-17,1,64
toothbrush1,village1,2023-01-18,2,186
toothbrush1,village1,2023-01-19,0,0
toothbrush1,village1,2023-01-20,0,0
toothbrush1,village1,2023-01-21,2,151
toothbrush1,village1,2023-01-22,0,0
toothbrush1,village1,2023-01-23,2,190
toothbrush1,village1,2023-01-24,0,0
toothbrush1,village1,2023-01-25,0,0
toothbrush1,village1,2023-01-26,2,94
toothbrush1,village1,2023-01-27,2,149
toothbrush1,village1,2023-01-28,2,186
toothbrush1,village1,2023-01-29,2,130
toothbrush1,village1,2023-01-30,1,113
toothbrush1,village1,2023-01-31,0,0
toothbrush1,village1,2023-02-01,1,86
toothbrush1,village1,2023-02-02,1,69
toothbrush1,village1,2023-02-03,0,0
toothbrush1,village1,2023-02-04,2,158
toothbrush1,village1,2023-02-05,1,43
toothbrush1,village1,2023-02-06,1,44
toothbrush1,village1,2023-02-07,0,0
toothbrush1,village1,2023-02-08,2,158
toothbrush1,village1,2023-02-09,2,98
toothbrush1,village1,2023-02-10,0,0
toothbrush1,village1,2023-02-11,0,0
toothbrush1,village1,2023-02-12,1,85
toothbrush1,village1,2023-02-13,0,0
toothbrush1,village1,2023-02-14,1,102
toothbrush1,village1,2023-02-15,1,90
toothbrush1,village1,2023-02-16,2,159
toothbrush1,village1,2023-02-17,1,34
toothbrush1,village1,2023-02-18,2,97
toothbrush1,village1,2023-02-19,0,0
